, -10-ftime, -10-kftime, -10-time, -5-ftime, -5-kftime, -5-time,H-0-ftime,H-0-kftime,H-0-time,d-9-ftime,d-9-kftime,d-9-time,e-1-ftime,e-1-kftime,e-1-time,g-6-ftime,g-6-kftime,g-6-time,i-12-ftime,i-12-kftime,i-12-time,l-2-ftime,l-2-kftime,l-2-time,l-3-ftime,l-3-kftime,l-3-time,m,o-4-ftime,o-4-kftime,o-4-time,o-7-ftime,o-7-kftime,o-7-time,o-8-ftime,o-8-kftime,o-8-time,r-13-ftime,r-13-kftime,r-13-time,s-11-ftime,s-11-kftime,s-11-time,totaltime
0,21,124,103,61,196,135,,75,75,25,128,103,81,196,115,222,317,95,0,107,107,27,94,67,70,141,71,,126,265,139,17,72,55,79,150,71,146.0,253.0,107.0,42,157,115,1358
1,103,206,103,45,184,139,943.0,1022,79,461,560,99,355,454,99,35,154,119,0,99,99,337,444,107,173,312,139,,191,342,151,72,163,91,81,212,131,45.0,148.0,103.0,78,212,134,1593
2,23,120,97,84,215,131,1289.0,1368,79,25,102,77,164,254,90,112,224,112,240,375,135,213,325,112,129,244,115,6.0,121,225,104,153,256,103,89,207,118,222.0,309.0,87.0,167,317,150,2157
3,1,108,107,43,152,109,394939.0,395006,67,0,87,87,117,208,91,10,92,82,0,90,90,1,56,55,56,156,100,,93,192,99,38,97,59,59,156,97,,,,37,133,96,1139
4,25,116,91,28,141,113,512.0,582,70,14,105,91,62,165,103,0,79,79,0,87,87,19,85,66,52,128,76,2.0,107,234,127,38,101,63,56,127,71,34.0,108.0,74.0,17,121,104,1397
5,24,120,96,44,158,114,24568.0,24647,79,443,526,83,129,220,91,0,99,99,0,91,91,24,85,61,48,139,91,2.0,85,172,87,35,98,63,49,128,79,33.0,112.0,79.0,37,137,100,1439
6,0,103,103,26,174,148,540.0,620,80,60,159,99,112,211,99,45,120,75,0,75,75,0,264,264,108,235,127,,136,176,40,31,79,48,53,132,79,,,,30,133,103,1340
7,62,177,115,19,129,110,320.0,407,87,109,204,95,53,156,103,0,19,19,0,79,79,0,51,51,50,114,64,5.0,109,196,87,54,113,59,50,121,71,288.0,371.0,83.0,15,96,81,1452
8,16,88,72,85,191,106,529.0,596,67,28,122,94,73,180,107,0,83,83,0,67,67,0,63,63,52,142,90,,94,169,75,45,96,51,60,127,67,,,,16,112,96,1038
9,5,92,87,38,147,109,360.0,439,79,28,124,96,43,171,128,0,91,91,0,67,67,0,59,59,65,128,63,1.0,76,175,99,41,88,47,57,120,63,,,,22,104,82,1149
10,20,128,108,29,131,102,351.0,430,79,33,141,108,27,164,137,34,114,80,111,190,79,0,59,59,62,129,67,1.0,89,160,71,29,89,60,59,134,75,,,,24,137,113,1210
11,12,107,95,0,107,107,,79,79,37,145,108,82,173,91,40,123,83,13,96,83,32,107,75,52,139,87,3.0,571,678,107,52,115,63,65,136,71,20.0,111.0,91.0,22,125,103,1514
12,372,455,83,33,144,111,,83,83,0,87,87,74,193,119,0,95,95,42,125,83,18,81,63,63,142,79,,110,197,87,51,110,59,106,181,75,0.0,95.0,95.0,0,91,91,1210
13,17,135,118,40,154,114,,83,83,26,117,91,92,182,90,0,83,83,0,99,99,0,34,34,84,151,67,,92,199,107,65,132,67,79,150,71,19.0,102.0,83.0,17,115,98,1205
