,ddtime,dutime,ftime,key,kftime,time,uutime
0,140.0625,218.21875,67.6875,72,75,75,140.9375
1,149.0,265.0,74.0,69,190,116,190.0
2,92.0,152.0,0.0,76,60,60,36.0
3,117.0,196.0,57.0,76,136,79,136.0
4,165.0,224.0,86.0,79,145,59,145.0
5,77.0,212.0,18.0,32,153,135,153.0
6,128.0,195.0,0.0,71,67,67,60.0
7,427.0,486.0,360.0,8,419,59,419.0
8,108.0,192.0,49.0,87,133,84,133.0
9,80.0,159.0,0.0,79,79,79,75.0
10,170.0,217.0,91.0,76,138,47,138.0
11,23.0,91.0,0.0,82,68,68,44.0
12,141.0,216.0,73.0,82,148,75,148.0
13,333.0,368.0,258.0,8,293,35,293.0
14,101.0,156.0,66.0,8,121,55,121.0
15,174.0,257.0,119.0,82,202,83,202.0
16,279.0,330.0,196.0,8,247,51,247.0
17,96.0,155.0,45.0,8,104,59,104.0
18,119.0,198.0,60.0,82,139,79,139.0
19,72.0,159.0,0.0,76,87,87,80.0
20,137.0,248.0,50.0,68,161,111,161.0
21,75.0,175.0,0.0,32,100,100,64.0
22,265.0,328.0,165.0,72,228,63,228.0
23,151.0,222.0,88.0,79,159,71,159.0
24,96.0,169.0,25.0,87,98,73,98.0
25,106.0,189.0,33.0,32,116,83,116.0
26,88.0,179.0,5.0,65,96,91,96.0
27,134.0,249.0,43.0,82,158,115,158.0
28,92.0,179.0,0.0,69,87,87,64.0
29,66.0,139.0,0.0,32,73,73,52.0
30,207.0,290.0,134.0,89,217,83,217.0
31,72.0,143.0,0.0,79,71,71,60.0
32,142.0,245.0,71.0,85,174,103,174.0
