, -10-ftime, -10-kftime, -10-time, -5-ftime, -5-kftime, -5-time,H-0-ftime,H-0-kftime,H-0-time,d-9-ftime,d-9-kftime,d-9-time,e-1-ftime,e-1-kftime,e-1-time,g-6-ftime,g-6-kftime,g-6-time,i-12-ftime,i-12-kftime,i-12-time,l-2-ftime,l-2-kftime,l-2-time,l-3-ftime,l-3-kftime,l-3-time,m,o-4-ftime,o-4-kftime,o-4-time,o-7-ftime,o-7-kftime,o-7-time,o-8-ftime,o-8-kftime,o-8-time,r-13-ftime,r-13-kftime,r-13-time,s-11-ftime,s-11-kftime,s-11-time,totaltime
0,9,68,59,630,744,114,,63,63,67,162,95,13,125,112,0,84,84,0.0,75.0,75.0,36,111,75,26,153,127,,279,367,88,29,101,72,60,105,45,82.0,170.0,88.0,63,158,95,1192
1,34,89,55,92,187,95,695.0,766,71,23,117,94,17,108,91,44,123,79,0.0,75.0,75.0,96,163,67,63,162,99,2.0,1142,1242,100,18,89,71,43,122,79,,,,32,119,87,1220
2,48,119,71,133,224,91,569.0,628,59,69,176,107,989,1080,91,0,67,67,0.0,79.0,79.0,27,92,65,58,129,71,5.0,79,166,87,65,124,59,62,133,71,50.0,141.0,91.0,27,127,100,1552
3,19,82,63,243,384,141,3039.0,3132,93,34,150,116,0,123,123,0,95,95,0.0,91.0,91.0,1097,1136,39,85,160,75,2.0,131,218,87,46,97,51,86,153,67,49.0,148.0,99.0,39,149,110,1416
4,0,194,194,0,239,239,0.0,159,159,0,195,195,0,209,209,0,194,194,,,,0,203,203,0,270,270,19.0,0,353,353,0,213,213,0,195,195,,,,0,151,151,10121
5,0,250,250,0,221,221,0.0,168,168,0,371,371,0,203,203,0,166,166,0.0,225.0,225.0,0,182,182,0,264,264,2.0,0,378,378,0,182,182,0,286,286,,,,0,159,159,3934
6,0,289,289,0,209,209,0.0,159,159,0,250,250,0,218,218,0,181,181,0.0,786.0,786.0,0,181,181,0,333,333,6.0,0,353,353,0,220,220,0,204,204,,,,0,333,333,5961
7,0,183,183,0,174,174,0.0,162,162,0,258,258,0,193,193,0,187,187,0.0,164.0,164.0,0,159,159,0,249,249,1.0,0,307,307,0,193,193,0,184,184,,,,0,176,176,3215
8,0,207,207,0,655,655,0.0,167,167,0,211,211,0,212,212,0,512,512,0.0,178.0,178.0,0,199,199,0,275,275,2.0,0,370,370,0,224,224,0,191,191,,,,0,203,203,4773
9,0,193,193,0,1012,1012,0.0,418,418,0,193,193,0,243,243,0,225,225,0.0,198.0,198.0,0,179,179,0,257,257,5.0,0,182,182,0,194,194,0,191,191,,,,0,175,175,5916
10,0,204,204,0,699,699,0.0,174,174,0,224,224,0,209,209,0,159,159,0.0,187.0,187.0,0,185,185,0,267,267,4.0,0,345,345,0,206,206,0,218,218,,,,0,214,214,5223
11,0,183,183,0,258,258,0.0,261,261,0,216,216,0,186,186,0,205,205,0.0,154.0,154.0,0,278,278,0,207,207,8.0,0,308,308,0,163,163,0,165,165,,,,0,183,183,5433423
12,50,141,91,120,211,91,,93,93,21,104,83,122,193,71,48,135,87,0.0,75.0,75.0,96,159,63,54,137,83,,89,156,67,41,108,67,48,124,76,69.0,152.0,83.0,18,133,115,1145
13,81,189,108,78,169,91,543.0,618,75,45,128,83,84,159,75,28,111,83,527.0,618.0,91.0,156,231,75,62,168,106,1.0,125,196,71,58,133,75,73,156,83,5.0,97.0,92.0,43,145,102,1253
14,37,96,59,143,262,119,911.0,974,63,30,122,92,124,230,106,0,83,83,0.0,75.0,75.0,38,101,63,59,162,103,,91,174,83,56,127,71,54,137,83,113.0,196.0,83.0,48,127,79,1162
15,24,104,80,565,636,71,,59,59,233,312,79,58,137,79,18,88,70,0.0,83.0,83.0,110,173,63,69,128,59,1.0,99,174,75,220,283,63,108,167,59,123.0,202.0,79.0,54,141,87,1093
16,51,114,63,213,328,115,536.0,599,63,36,123,87,1027,1113,86,0,79,79,17.0,92.0,75.0,34,108,74,29,114,85,3.0,312,371,59,56,127,71,53,108,55,76.0,159.0,83.0,40,107,67,1319
17,61,132,71,107,214,107,572.0,623,51,40,131,91,578,669,91,5,76,71,35.0,106.0,71.0,23,86,63,54,133,79,3.0,109,184,75,54,117,63,56,127,71,71.0,106.0,35.0,336,408,72,1224
18,180,263,83,103,226,123,590.0,641,51,98,165,67,53,149,96,0,67,67,24.0,91.0,67.0,121,184,63,52,135,83,4.0,119,202,83,76,131,55,60,127,67,36.0,115.0,79.0,66,133,67,1365
19,23,123,100,68,191,123,,71,71,62,150,88,103,191,88,12,80,68,0.0,102.0,102.0,34,106,72,44,151,107,,100,223,123,69,162,93,113,202,89,22.0,105.0,83.0,70,185,115,1322
20,23,105,82,75,195,120,587.0,674,87,12,108,96,85,185,100,0,72,72,0.0,92.0,92.0,32,100,68,58,158,100,,76,200,124,51,111,60,57,165,108,57.0,145.0,88.0,28,140,112,1309
21,16,116,100,81,220,139,433.0,489,56,20,117,97,70,186,116,31,107,76,0.0,103.0,103.0,40,115,75,67,163,96,,112,222,110,24,96,72,61,164,103,37.0,123.0,86.0,21,136,115,1344
22,41,120,79,76,199,123,443.0,533,90,0,96,96,49,153,104,0,83,83,0.0,95.0,95.0,78,129,51,73,136,63,,121,232,111,38,105,67,52,154,102,51.0,138.0,87.0,22,140,118,1269
23,27,126,99,80,215,135,433.0,533,100,56,159,103,72,187,115,519,602,83,0.0,83.0,83.0,41,104,63,68,175,107,1.0,106,217,111,38,112,74,56,143,87,51.0,146.0,95.0,54,157,103,1437
24,50,136,86,99,225,126,503.0,603,100,0,94,94,31,172,141,0,82,82,0.0,103.0,103.0,39,99,60,66,163,97,,72,171,99,76,143,67,59,161,102,32.0,113.0,81.0,0,123,123,1361
25,35,126,91,84,199,115,453.0,537,84,31,125,94,54,173,119,537,620,83,0.0,83.0,83.0,36,99,63,72,151,79,,109,228,119,80,155,75,57,152,95,39.0,124.0,85.0,5,141,136,1321
